conferenceId,conferenceUrl,conferenceTitle,conferenceProceedingIds
con60,e1e5d628-9ed7-43a8-a0bf-eaada8f74e50,European Conference on Software Process Improvement,pro60
con61,dee2646c-57cc-4b8b-92c8-98d0d78d35cf,International Conference on Predictive Models in Software Engineering,pro61
con62,d5c81521-9f67-4e2e-8576-0b5e0c068bf6,Australian Software Engineering Conference,pro62
con63,34ff8764-9b0d-4351-ada6-67f4cf56de2e,International Colloquium on Theoretical Aspects of Computing,pro63
con64,867269c0-6c7e-4ad4-8ba2-fb534593c564,British Computer Society Conference on Human-Computer Interaction,pro64
con65,2b17e04f-6588-4d0a-b1d7-1b841ffeee10,IEEE International Conference on Software Engineering and Formal Methods,pro65
con66,4a46fb6f-28f3-44cf-901d-6b04f65925d9,International Conference on Software Reuse,pro66
con67,ad445883-8515-43dc-b3ff-225a898db935,IEEE International Software Metrics Symposium,pro67
con68,0dcf75d3-a29b-4614-a03b-c00a58aa06fa,Experimental Software Engineering Network,pro68
con69,0c42128d-ccea-4745-87b8-2a03eac908cb,Formal Concept Analysis,pro69
con70,0ca4830a-5779-4a1f-8692-5eb621a6ef46,International Conference on Graph Transformation,pro70
con71,e82485bc-2195-4cf5-9f9a-012501918b2f,Annual Conference on Innovation and Technology in Computer Science Education,pro71
con72,a57e2e51-6dd9-4f33-9a03-b31784a38e1e,Bioinformatics and Computational Biology,pro72
con73,6097e4b5-f3a8-4021-991b-031490b89f6f,"ACM International Conference on Bioinformatics, Computational Biology and Biomedicine",pro73
con74,9ec28b59-afd2-4d10-9a97-44d984123c30,IEEE International Conference on Information Reuse and Integration,pro74
con75,9d3979be-d38e-4ba6-8e93-ce5332aa70ce,Intelligent Systems in Molecular Biology,pro75
con76,ba1e9488-a629-4abe-a0c2-ec2c79c91616,IEEE International Conference on Tools with Artificial Intelligence,pro76
con77,3e64b1c1-745f-4edf-bd92-b8ef122bb49c,International Conference on Artificial Neural Networks,pro77
con78,d9720b90-d60b-48bc-9df8-87a30b9a60dd,Neural Information Processing Systems,pro78
con79,68cf0e99-5164-4480-8ed4-8b8416a091df,IEEE Annual Symposium on Foundations of Computer Science,pro79
con80,e732255b-dd34-4497-9b4d-ac107060f443,International Conference on Advanced Computer Science Applications and Technologies,pro80
