conferenceJournalId,proceedingsVolumeIds
jou6,vol6
con81,pro81
con34,pro34
jou139,vol139
jou133,vol133
jou140,vol140
con23,pro23
jou141,vol141
con30,pro30
con5,pro5
jou58,vol58
con43,pro43
jou142,vol142
jou18,vol18
jou143,vol143
con16,pro16
con106,pro106
con32,pro32
con98,pro98
jou144,vol144
jou145,vol145
con55,pro55
con50,pro50
con66,pro66
con8,pro8
jou103,vol103
con93,pro93
jou88,vol88
con90,pro90
jou16,vol16
con33,pro33
con92,pro92
con101,pro101
jou146,vol146
jou108,vol108
con93,pro93
con27,pro27
con86,pro86
con43,pro43
con28,pro28
con105,pro105
con90,pro90
jou147,vol147
con50,pro50
con31,pro31
jou110,vol110
jou103,vol103
con82,pro82
con1,pro1
con95,pro95
jou148,vol148
con37,pro37
jou103,vol103
jou63,vol63
con110,pro110
jou43,vol43
jou103,vol103
con29,pro29
jou16,vol16
jou103,vol103
con29,pro29
con30,pro30
con108,pro108
jou148,vol148
con38,pro38
con30,pro30
jou149,vol149
jou103,vol103
con2,pro2
jou150,vol150
jou16,vol16
con26,pro26
jou103,vol103
con107,pro107
con2,pro2
jou151,vol151
jou152,vol152
con22,pro22
con24,pro24
con31,pro31
jou153,vol153
jou154,vol154
con2,pro2
con32,pro32
jou155,vol155
jou156,vol156
jou155,vol155
con31,pro31
jou152,vol152
con1,pro1
con15,pro15
jou152,vol152
con33,pro33
con33,pro33
con34,pro34
con33,pro33
con60,pro60
jou156,vol156
con14,pro14
con44,pro44
con2,pro2
jou153,vol153
jou151,vol151
con110,pro110
con35,pro35
con35,pro35
jou152,vol152
con36,pro36
con33,pro33
con103,pro103
jou152,vol152
jou157,vol157
con37,pro37
jou152,vol152
con10,pro10
con38,pro38
con74,pro74
jou156,vol156
con39,pro39
con35,pro35
jou158,vol158
jou152,vol152
con84,pro84
con31,pro31
jou159,vol159
con40,pro40
jou151,vol151
jou160,vol160
jou160,vol160
con2,pro2
con70,pro70
con90,pro90
con100,pro100
con2,pro2
con51,pro51
jou156,vol156
jou156,vol156
con87,pro87
con41,pro41
con2,pro2
jou160,vol160
jou152,vol152
jou160,vol160
con2,pro2
con41,pro41
jou151,vol151
con13,pro13
jou151,vol151
jou160,vol160
con42,pro42
con50,pro50
con42,pro42
jou161,vol161
con52,pro52
con54,pro54
jou152,vol152
jou155,vol155
con109,pro109
con38,pro38
con97,pro97
con43,pro43
con41,pro41
jou152,vol152
