authorId,authorUrl,authorName
aut188,66716670,Tx
aut189,105017157,U. Fish
aut190,2103259403,Wildlife
aut191,2150913810,Northwest Indian College
aut192,90839159,Onalaska
aut193,21207111,Wi
aut194,1422189299,B. Department
aut195,70664266,Spelman College
aut196,67002876,Atlanta
aut197,66605321,Ga
aut198,2150913651,Turtle Mountain Community College
aut199,17139046,Belcourt
aut200,2150913417,Nd
aut201,2273929331,Department of Mathematical Sciences
aut202,7737288,U. California
aut203,70102214,California LosAngeles
aut204,2150912520,Claflin University
aut205,2150913410,Orangeburg
aut206,2075006091,Sc
aut207,89065716,D. Biostatistics
aut208,1490485491,Johns Hopkins Bloomberg School of Public Health
aut209,28109358,Baltimore.
aut210,2273684870,Md
aut211,2260656189,National Human Genome Research Institute
aut212,1562111284,N. Health
aut213,108374560,Bethesda.
aut214,102836509,University of Hawaii at Manoa
aut215,90503494,Honolulu
aut216,2113867681,Hi
aut217,2150913481,Smithsonian Institute National Museum of Natural History
aut218,50596132,Washington
aut219,83298012,Dc
aut220,2150913717,Guttman Community College
aut221,72379552,New York.
aut222,2066161618,Ny
aut223,2029880797,D. Microbiology
aut224,2150913805,Biomedical Sciences
aut225,2082443935,D. College
aut226,2150913709,Tuba City
aut227,70401482,Az
aut228,8262839,Department of Medical Biology
aut229,52357291,J. University
aut230,2150913865,Northern Virginia Community College - Alexandria
aut231,74825769,Alexandria
aut232,2074778406,Va
aut233,7502599,D. Chemistry
aut234,3605620,Biochemistry
aut235,1490633868,Fort Lewis College
aut236,90124237,Durango
aut237,2113858148,Co
aut238,2037681254,Department of Neurobiology
aut239,2150913365,Morehouse School of Medicine
aut240,2150913621,ScienceTechnology
aut241,2150913619,Universidad Ana G. M'endez
aut242,2058631664,Carolina
aut243,2098305749,Pr
aut244,2150913700,Natural Sciences Department
aut245,2150913543,University of Puerto Rico at Aguadilla
aut246,2150913840,Aguadilla
aut247,2150913485,Department of Molecular
aut248,89157526,Cell Biology
aut249,2150913754,Merced
aut250,1387891346,School of Historical Studies
aut251,51079948,Research
aut252,2087374732,M. M. College
aut253,66282382,Nashville
aut254,66713788,Tn
aut255,2150913617,Border Biomedical Research Center
aut256,102517549,U. O. T. A. E. Paso
aut257,2150913747,Department of Math
aut258,5061428,Statistics
aut259,102539247,Data Science
aut260,2259624522,Montgomery College
aut261,77480028,Rockville
aut262,88739531,Department of Materials Science
aut263,1490633994,Chemical
aut264,2045314941,Biological Sciences
aut265,2150913611,Germantown
aut266,1389645066,University of Puerto Rico
aut267,2150913368,Ponce
aut268,2150913834,Department of Embryology
aut269,102790948,Carnegie Institution
aut270,2150913371,Flathead Valley Community College
aut271,105021779,Kalispell
aut272,2074720376,Mt
aut273,2150913812,Nevada State College
aut274,121274222,Henderson
aut275,2150913827,Nv
aut276,2150913597,V. S. University
aut277,2150913479,Petersburg
aut278,1399205325,Fernando Martínez-Plumed
aut279,1572944977,Lidia Contreras-Ochando
aut280,1785006,C. Ferri
