ID,name,city
23528733,"2023 2nd International Conference on Materials Science and Engineering, CoMSE 2023",Taizhou
85201522,"29th International Conference on Computational and Experimental Engineering and Sciences, ICCES 2023",Shenzhen
22440750,"14th International Particle Accelerator Conference, IPAC 2023",Venice
42210352,"6th International Conference on Smart Monitoring, Assessment and Rehabilitation of Civil Structures, SMAR 2022",Shanghai
60960918,"4th International Conference on Geology, Mapping, and Remote Sensing, ICGMRS 2023",Wuhan
32641368,"5th International Workshop on Dynamic Logic - New Trends and Applications, DaLi 2023",Tbilisi
62439355,"1st International Conference on Machine Intelligence for Research and Innovations, MAiTRI 2023",Jalandhar
61443178,"14th China Academic Conference on Printing and Packaging, CACPP 2023",Beijing
20913067,"15th Innovations in Theoretical Computer Science Conference, ITCS 2024",Berkeley
11380392,"2023 2nd International Conference on Mechanical, Aerospace Technology and Materials Application, MATMA 2023","Hybrid, Shenyang"
46700719,"9th International Conference on Mobile, Secure, and Programmable Networking, MSPN 2023",Paris
12393259,"International Conference on Applications in Electronics Pervading Industry, Environment and Society, APPLEPIES 2023",Genoa
40785795,"6th International Conference on Smart Monitoring, Assessment and Rehabilitation of Civil Structures, SMAR 2022",Shanghai
90821523,"5th International Workshop on Dynamic Logic - New Trends and Applications, DaLi 2023",Tbilisi
98224996,"14th International Particle Accelerator Conference, IPAC 2023",Venice
85576934,"14th International Particle Accelerator Conference, IPAC 2023",Venice
50730043,"16th International Conference on Cloud Computing, CLOUD 2023 held as Part of the Services Conference Federation, SCF 2023",Shenzhen
58970097,"1st International Conference on Machine Intelligence for Research and Innovations, MAiTRI 2023",Jalandhar
42596345,"14th International Particle Accelerator Conference, IPAC 2023",Venice
99168454,"14th International Particle Accelerator Conference, IPAC 2023",Venice
16539189,"15th Innovations in Theoretical Computer Science Conference, ITCS 2024",Berkeley
67409960,"14th International Particle Accelerator Conference, IPAC 2023",Venice
72968524,"14th International Particle Accelerator Conference, IPAC 2023",Venice
23969459,"14th International Particle Accelerator Conference, IPAC 2023",Venice
48469562,"1st Conference on Parsimony and Learning, CPAL 2024",Hongkong
31255369,"14th International Conference on Emerging Ubiquitous Systems and Pervasive Networks / 13th International Conference on Current and Future Trends of Information and Communication Technologies in Healthcare, EUSPN/ICTH 2023",Almaty
28435868,"1st Conference on Parsimony and Learning, CPAL 2024",Hongkong
33240589,"1st Conference on Parsimony and Learning, CPAL 2024",Hongkong
15742112,"1st Conference on Parsimony and Learning, CPAL 2024",Hongkong
68593817,"1st International Conference on New Materials for Environment and Energy, NMEE 2023",
44913676,"1st International Conference on New Materials for Environment and Energy, NMEE 2023",
49838877,"2023 International Conference on Algorithm, Imaging Processing, and Machine Vision, AIPMV 2023",Qingdao
29530557,"2023 International Conference on Algorithm, Imaging Processing, and Machine Vision, AIPMV 2023",Qingdao
28558020,"2023 International Conference on Algorithm, Imaging Processing, and Machine Vision, AIPMV 2023",Qingdao
36264328,"10th World Hydrogen Technology Convention, WHTC 2023",Foshan
79645727,"10th World Hydrogen Technology Convention, WHTC 2023",Foshan
74874272,"6th International Conference on Electrical Engineering and Information Technologies for Rail Transportation, EITRT 2023",Beijing
72128923,"10th World Hydrogen Technology Convention, WHTC 2023",Foshan
33509350,"29th International Conference on Information and Software Technologies, ICIST 2023",Kaunas
