ID,name,year,edition
305679.0,"International Conference on Water Reactor Fuel Performance Meeting, WRFPM 2023",2023,1.0
305219.0,"2nd International Conference on Big Data, Machine Learning, and Applications, BigDML 2021",2021,1.0
305579.0,"8th International Conference on Emerging Research in Computing, Information, Communication and Applications, ERCICA 2023",2023,1.0
305519.0,"9th International Symposium on Dependable Software Engineering: Theories, Tools and Applications, SETTA 2023",2023,1.0
304959.0,"3rd International Conference on Micro and Nanoelectronics Devices, Circuits and Systems, MNDCS 2023",2023,1.0
305899.0,"3rd International Conference on Advanced Research in Technologies, Information, Innovation and Sustainability, ARTIIS 2023",2023,1.0
304869.0,"4th International Conference on IoT Based Control Networks and Intelligent Systems, ICICNIS 2023",2023,1.0
304859.0,"36th Australasian Joint Conference on Artificial Intelligence, AJCAI 2023",2023,1.0
303919.0,"8th International Conference on Cognitive Systems and Information Processing, ICCSIP 2023",2023,1.0
303779.0,"14th China Satellite Navigation Conference, CSNC 2024",2024,1.0
303759.0,"20th Pacific Rim International Conference on Artificial Intelligence, PRICAI 2023",2023,1.0
303879.0,"16th International Federation of Theory of Machines and Mechanisms World Congress, IFToMM WC 2023",2023,1.0
304389.0,"11th Chinese National Conference on Social Media Processing, SMP 2023",2023,1.0
303829.0,"1st International Conference on AI-generated Content, AIGC 2023",2023,1.0
304089.0,"8th International Workshop on Advanced Computational Intelligence and Intelligent Informatics, IWACIII 2023",2023,1.0
299999.0,"19th International Conference on Computing in Civil and Building Engineering, ICCCBE 2022",2022,1.0
301799.0,"5th International Conference on Civil Engineering and Architecture, ICCEA 2022",2022,1.0
299669.0,"14th International Conference on Technology of Plasticity, ICTP 2023",2023,1.0
302369.0,"12th International Symposium on Intelligent Manufacturing and Service Systems, IMSS 2023",2023,1.0
299809.0,"11th IFToMM International Conference on Rotordynamics, IFToMM 2023",2023,1.0
299789.0,"32nd International Conference on Flexible Automation and Intelligent Manufacturing, FAIM 2023",2023,1.0
195756.0,"4th International Scientific Conference of Alkafeel University, ISCKU 2022",2022,1.0
196012.0,"2nd International Conference and Exposition on Mechanical, Material, and Manufacturing Technology, ICE3MT 2022",2022,1.0
