START_ID,END_ID
197283.0,87082446
175805.0,67189243
197227.0,90861329
196866.0,30558871
196770.0,16379696
196770.0,99991266
196700.0,35632679
196945.0,72272464
196450.0,26807241
196450.0,77891269
197410.0,48979044
307899.0,89274096
306349.0,60938186
307709.0,20423776
307709.0,74686167
306079.0,95144745
307839.0,34861655
307849.0,67565455
197205.0,49657667
307899.0,20702107
307709.0,45714541
197332.0,86059968
307899.0,68323012
307709.0,72858875
307709.0,30841198
307709.0,65270024
307709.0,69562810
197257.0,94571212
307709.0,83894506
307849.0,94064651
197332.0,36342026
307709.0,12539996
307709.0,43555720
307849.0,34052717
307709.0,37382646
307709.0,70524871
307709.0,73721626
307709.0,81478766
306349.0,23923211
307709.0,44831784
307709.0,12771636
197205.0,85660987
307709.0,85853381
307709.0,52943095
197332.0,79708528
197332.0,29239207
307899.0,68705803
307709.0,47052779
307849.0,20517833
307709.0,96524816
307709.0,34245580
197205.0,51577283
197066.0,97861296
197205.0,25790391
197205.0,45911845
197205.0,64226800
197066.0,26724718
306609.0,97537936
197043.0,97208333
197043.0,45955452
197004.0,30863599
196864.0,63316507
196662.0,56191107
304889.0,25222886
196672.0,87985771
196461.0,49376604
306809.0,62543166
306079.0,51101336
306809.0,41529831
306079.0,46642837
306859.0,12590026
306809.0,79690556
306809.0,39984152
306749.0,20254496
196726.0,46822728
196602.0,23528733
305379.0,85201522
196726.0,22440750
306979.0,42210352
196737.0,60960918
306749.0,32641368
306789.0,62439355
306999.0,61443178
196645.0,20913067
196721.0,11380392
307069.0,46700719
306739.0,12393259
306979.0,40785795
306749.0,90821523
196726.0,98224996
196726.0,85576934
306799.0,50730043
306789.0,58970097
196726.0,42596345
196726.0,99168454
196645.0,16539189
196726.0,67409960
196726.0,72968524
196726.0,23969459
196654.0,48469562
196395.0,31255369
196654.0,28435868
196654.0,33240589
196654.0,15742112
196396.0,68593817
196396.0,44913676
196457.0,49838877
196457.0,29530557
196457.0,28558020
306509.0,36264328
306509.0,79645727
306349.0,74874272
306509.0,72128923
306629.0,33509350
306639.0,25033541
306639.0,89090674
306509.0,49169856
306509.0,32139884
306529.0,30543648
306669.0,96470615
306519.0,88828815
306629.0,89155561
306509.0,25299646
306509.0,58529580
196233.0,34305126
306509.0,77385377
306209.0,51576504
306019.0,42205549
306409.0,70222566
306079.0,15206381
305189.0,23235774
304439.0,42679789
306309.0,48868274
305619.0,82901818
306079.0,75542908
306139.0,76155492
306079.0,26753176
306079.0,80144974
306289.0,45608619
306079.0,60770538
306409.0,67970425
306079.0,50135943
306079.0,57611589
306079.0,25360820
304439.0,50766486
306079.0,44029392
306079.0,49836776
306289.0,62818598
306009.0,60600790
305379.0,99595051
305869.0,96875693
305379.0,25197467
305419.0,57164076
305839.0,70433503
305869.0,67833512
305169.0,79793065
306019.0,85453834
306009.0,94698311
305869.0,88913725
305169.0,30007270
305299.0,71088826
305169.0,20344978
305299.0,84579592
305169.0,48647423
305869.0,29512051
305869.0,60549913
305739.0,91090285
305679.0,56226927
306009.0,78873901
305169.0,12462852
305379.0,79583279
305169.0,59952504
305219.0,31184244
305579.0,79740479
305169.0,59979177
305519.0,48974921
304959.0,82386331
305169.0,23505684
305899.0,27489877
304439.0,81280092
305379.0,58888133
305299.0,65502285
305379.0,79984384
304869.0,26000238
304439.0,51087771
304439.0,44509677
304439.0,34370403
304439.0,34025809
304439.0,66626562
304439.0,96753117
304439.0,10274480
304439.0,77868016
304439.0,84568267
304439.0,50862825
304859.0,20011595
304439.0,50778983
304439.0,20813620
304439.0,96230629
303919.0,52196038
303919.0,43751645
303779.0,50473298
303759.0,12809895
303919.0,25060370
303919.0,92889423
303759.0,77333300
304439.0,89613126
303759.0,97286675
303759.0,88786324
303879.0,52182597
303759.0,35128967
303759.0,34359318
303879.0,83767184
304389.0,70894752
303879.0,11929496
303919.0,81570349
303829.0,53367360
303759.0,33585585
304089.0,96170442
303759.0,90050478
299999.0,88773586
301799.0,23604394
301799.0,10486421
301799.0,44834131
299999.0,12159425
299669.0,84216568
302369.0,27336822
299809.0,23561332
299809.0,27238158
299789.0,89629690
299809.0,40497237
299809.0,89273412
195756.0,45060859
196012.0,70494776
197354.0,13108675
196005.0,41495264
196197.0,86313296
196704.0,31333025
196047.0,99785937
195564.0,14929202
196180.0,65930842
196174.0,48704104
195544.0,78225971
195643.0,40483175
195643.0,57375368
195544.0,85666475
195544.0,12599237
195643.0,76142187
195643.0,29669620
195643.0,74518046
195477.0,93690958
195643.0,57969613
195643.0,81134331
196164.0,11609261
195544.0,74744297
195643.0,62442576
195622.0,21855368
195401.0,28039464
196221.0,63612112
195682.0,92750347
196217.0,65509933
195251.0,95162061
196217.0,97328909
195276.0,97081641
195225.0,47381569
195565.0,88128780
196217.0,53718927
195565.0,68264164
195310.0,44269918
194733.0,71424399
195093.0,99129781
195093.0,79336066
194860.0,30749265
194757.0,82690890
195580.0,26811795
195580.0,64727869
195093.0,97648972
194767.0,39137232
195093.0,52432946
195093.0,99635508
194757.0,94987452
194865.0,71328068
194865.0,11126693
194865.0,71872736
194781.0,85772167
194865.0,68980504
194865.0,28466403
194781.0,39893563
194775.0,66587138
194865.0,72641818
194865.0,81858014
194676.0,81415182
194764.0,48442065
194764.0,61484784
194764.0,17678820
197101.0,69313064
194764.0,59549191
194764.0,26517353
194764.0,20787768
197101.0,45049956
194764.0,98883354
194764.0,20402097
194764.0,10997152
194764.0,93120257
194764.0,90589541
196216.0,77271469
196216.0,40944902
194664.0,46745913
196216.0,70452033
194502.0,61893738
196216.0,60097504
194664.0,78882955
194664.0,62928601
196216.0,49051151
194705.0,19620202
194515.0,23767152
196216.0,49501649
194484.0,49204809
194664.0,62125075
194341.0,34428750
194664.0,75566542
196216.0,83123444
196216.0,26286941
194515.0,50451498
196216.0,60500794
195645.0,58916646
194515.0,87748776
194664.0,30795205
194664.0,53033671
196216.0,31201202
196216.0,34503647
194515.0,71278975
193960.0,56393462
195110.0,28214308
194024.0,11807387
194357.0,50763368
193960.0,28620289
193960.0,32593351
194516.0,75311417
194024.0,55308957
194354.0,52050104
194105.0,96659335
194216.0,48114875
194105.0,52642971
194105.0,51743456
194105.0,35327518
195480.0,40850113
194105.0,61788183
194105.0,82243460
194105.0,57963231
194244.0,51442676
194105.0,60660166
194105.0,95357321
194244.0,30236316
194105.0,67911823
194021.0,69273690
194105.0,93979668
194214.0,93313117
194244.0,32094180
194105.0,65355724
194247.0,36309746
194247.0,42786611
195480.0,94195942
196451.0,54155387
195480.0,84059941
195480.0,66108439
195480.0,85698573
194105.0,24255897
194105.0,43456914
194105.0,44789075
194216.0,77699717
194105.0,14615806
194105.0,50355655
195480.0,83760979
194105.0,82545803
195480.0,10973183
194214.0,29982551
194214.0,10896315
194105.0,43627838
194105.0,97629779
194105.0,45261251
194105.0,26533504
194105.0,25570425
194105.0,27381047
194216.0,25801003
194216.0,73650196
194214.0,76783334
194105.0,50052195
193843.0,76627820
194105.0,12811334
194105.0,96706002
193606.0,82522978
194105.0,66664404
194105.0,19137387
194105.0,45815348
194105.0,55381322
194105.0,90610057
194105.0,84239360
194105.0,54938725
194105.0,62117053
194142.0,96960375
194105.0,17851518
194105.0,34278848
194105.0,73933562
194020.0,60619114
193843.0,51151714
194105.0,57928620
193843.0,84371487
194105.0,90996901
194105.0,47379456
194105.0,92476539
194105.0,70517000
194105.0,77646142
194105.0,26505470
194105.0,78767615
194105.0,62012189
194105.0,54318355
194105.0,61036855
194105.0,74045284
194105.0,32440270
194105.0,48726066
193843.0,81929219
194105.0,16171830
194105.0,99997182
194105.0,94224669
194105.0,24907022
194105.0,80656006
194105.0,63256286
194105.0,22075881
194105.0,69217141
194105.0,85210977
194105.0,13496556
196184.0,32335295
193792.0,18273822
193792.0,23911724
193792.0,81017581
193792.0,71607156
193792.0,21078410
193792.0,96199687
193792.0,74653348
193625.0,34528590
193792.0,15832946
193792.0,85179590
196943.0,47922244
193792.0,85385825
